experiment,var,type,64x0000,64x0011,64x1100,64x1111,128x0000,128x0011,128x1100,256x1111,256x0000,256x0011,256x1100,256x11111
1,4,Consistent,0.8888888888888888,0.042534722222222224,0.03732638888888889,0.0008680555555555555,0.8823784722222222,0.051215277777777776,0.03602430555555555,0.00043402777777777775,0.8912760416666666,0.049479166666666664,0.03125,0.0013020833333333333
2,8,Consistent,0.884765625,0.037109375,0.0361328125,0.001953125,0.86767578125,0.044921875,0.04345703125,0.001953125,0.891357421875,0.0390625,0.03759765625,0.00146484375
3,12,Consistent,0.880859375,0.0419921875,0.044921875,0.0029296875,0.8857421875,0.0341796875,0.04443359375,0.00244140625,0.878662109375,0.041015625,0.043212890625,0.001953125
4,4,Inconsistent,0.9521484375,0.015625,0.0224609375,0.0009765625,0.947265625,0.0234375,0.01806640625,0.0009765625,0.941162109375,0.023193359375,0.02685546875,0.000732421875
5,8,Inconsistent,0.91796875,0.0166015625,0.0283203125,0.0009765625,0.93359375,0.01708984375,0.01806640625,0.0,0.93115234375,0.0205078125,0.0146484375,0.000244140625
6,12,Inconsistent,0.9150390625,0.03515625,0.015625,0.0,0.923828125,0.02392578125,0.021484375,0.0029296875,0.920654296875,0.030517578125,0.01953125,0.000244140625
