experiment,var,64x0000,64x0011,64x1100,64x1111,128x0000,128x0011,128x1100,256x1111,256x0000,256x0011,256x1100,256x11111
1,4.0,0.9399147727272728,0.02997159090909091,0.028977272727272727,0.0011363636363636363,0.9390625,0.028977272727272727,0.030610795454545453,0.0013494318181818182,0.9389559659090909,0.030007102272727272,0.030291193181818183,0.0007457386363636364
2,8.0,0.9696022727272727,0.015909090909090907,0.01434659090909091,0.00014204545454545454,0.9682528409090909,0.016264204545454547,0.015269886363636364,0.0002130681818181818,0.9684659090909091,0.016512784090909092,0.014772727272727272,0.00024857954545454543
3,12.0,0.9698863636363636,0.016051136363636365,0.0140625,0.0,0.9691051136363636,0.014772727272727272,0.016051136363636365,7.102272727272727e-05,0.96953125,0.016441761363636363,0.013884943181818182,0.00014204545454545454
4,4.0,0.9860795454545455,0.0,0.013920454545454545,0.0,0.9841619318181818,0.0,0.015838068181818182,0.0,0.9849076704545454,0.0,0.015092329545454546,0.0
5,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
