experiment,var,type,64x0000,64x0011,64x1100,64x1111,128x0000,128x0011,128x1100,256x1111,256x0000,256x0011,256x1100,256x11111
1,4,Consistent,0.047902011825476654,0.028260272909480206,0.022825268944073385,0.0036828478186799346,0.03276127634942358,0.023085939011990818,0.016764276440184005,0.0018414239093399675,0.017275530745709547,0.012497127427285983,0.009936465216194694,0.0026796653928517007
2,8,Consistent,0.04595450365578982,0.022732450877911658,0.022620301940863508,0.0053369535239372904,0.03811013520835316,0.019866907419542345,0.024534857417878447,0.004510548978043951,0.021310553945701558,0.014823176532039276,0.012092562253259578,0.002418512450651915
3,12,Consistent,0.030658463859919643,0.021132295029862865,0.029022149407822988,0.006298638865858242,0.0235025139945177,0.01973848391837208,0.012008145428858903,0.004703747882340741,0.023844928757314542,0.011933790872280834,0.01610390746914362,0.00285272165367274
4,4,Inconsistent,0.03251038996581196,0.015095184110613998,0.02207405711227171,0.00390625,0.020669932117692108,0.013380450602776175,0.010944473223532734,0.0026684767619686452,0.01356683983344709,0.008374177655133642,0.008778205099314153,0.0015746597164645606
5,8,Inconsistent,0.03806005397176065,0.015592413937419483,0.0262814481760265,0.0039062499999999996,0.02317562027217394,0.011488625913947456,0.011664370356229763,0.0,0.022274760552748758,0.01118579770568465,0.007747122281585164,0.0009765624999999999
6,12,Inconsistent,0.02734374999999997,0.01934809960521532,0.01613743060919757,0.0,0.025435657181405773,0.021813296532137417,0.008792678654236528,0.006298638865858242,0.022130150261995277,0.012614929816068059,0.011048543456039806,0.0009765624999999999
